head,relation,tail
攻角总改变量,causes,变体过程
攻角总改变量,causes,失控
方向,causes,升力
方向,causes,攻角变化
方向,causes,来源
方向,causes,活动机翼
方向,causes,等效
方向,causes,迎角
最高点,causes,变形
最高点,causes,整体
最高点,causes,活动机翼
最高点,causes,连杆
机翼,causes,俯仰力矩
机翼,causes,失速
机翼,causes,展弦比
机翼,causes,有效攻角
机翼,causes,活动机翼
机翼,causes,燃油携带
机翼,causes,载荷
机翼,causes,飞机
机翼上表面,causes,升力
机翼根部,causes,有效载荷
机翼根部,causes,机翼结构重量
机翼根部,causes,飞机
来源,causes,等效
活动机翼,causes,俯仰力矩
活动机翼,causes,扭矩
活动机翼,causes,攻角变化
活动机翼,causes,来源
活动机翼,causes,等效
活动机翼,causes,迎角
活动机翼,causes,连杆
流动,causes,失速
流动,causes,飞机
流动分离,causes,同时
流动分离,causes,含连杆构型
流动分离,causes,诱导阻力系数
涡流,causes,全机
涡流,causes,大展弦
涡流,causes,零升阻力
结构重量,causes,燃油携带
结构重量,causes,载荷
结构重量,causes,飞机
能力,causes,失控
能力,causes,飞机
舵效,causes,失速
趋势,causes,下降
趋势,causes,升力
趋势,causes,原因
运动,causes,攻角变化
运动,causes,有效攻角
运动,causes,机翼
运动,causes,来源
运动,causes,活动机翼
运动,causes,稳定
运动,causes,等效
运动,causes,迎角
连杆,causes,变形
连杆,causes,同时
连杆,causes,含连杆构型
连杆,causes,幅度
连杆,causes,开口
连杆,causes,措施
连杆,causes,攻角
连杆,causes,整体
连杆,causes,机翼
连杆,causes,水平面内
连杆,causes,活动机翼
连杆,causes,流动分离
连杆,causes,结构破坏
连杆,causes,诱导阻力系数
速度,causes,升力
速度,causes,失速
速度,causes,活动机翼
速度,causes,迎角
速度,causes,阻力
速度,causes,飞机
阻力,causes,俯仰力矩
阻力,causes,全机
阻力,causes,减阻
阻力,causes,大展弦
阻力,causes,强度
阻力,causes,扭矩
阻力,causes,最高点
阻力,causes,活动机翼
阻力,causes,连杆
阻力,causes,铰链
阻力,causes,零升阻力
非定常效应,causes,攻角变化
非定常效应,causes,有效攻角
非定常效应,causes,机翼
非定常效应,causes,等效
飞机,causes,两侧
飞机,causes,俯仰力矩
飞机,causes,失速
飞机,causes,最高点
飞机,causes,活动机翼
飞行控制,causes,变体过程
飞行控制,causes,失控
鸭翼,causes,单-双折叠翼变体飞行器
鸭翼,causes,干扰
使用,combines_with,升力线理论
使用,combines_with,双翼理论
几何模型,combines_with,非定
升力,combines_with,半经验方法
升力补偿,combines_with,活动机翼
升力补偿,combines_with,节中
升力补偿,combines_with,计算
升力补偿,combines_with,计算结果
双翼构型,combines_with,双翼
双翼构型,combines_with,双翼布局
双翼构型,combines_with,研究结果
双翼飞机,combines_with,双翼布局
双翼飞机,combines_with,双翼理论
双翼飞机,combines_with,气动力
变体,combines_with,研究内容
变体,combines_with,试飞结果
同时,combines_with,升力变化
同时,combines_with,机翼升力
同时,combines_with,翼尖涡
学科,combines_with,气象条件
学科,combines_with,约束
学科,combines_with,起降场地
学科,combines_with,限制
平衡气动,combines_with,气象条件
平衡气动,combines_with,起降场地
平面形状,combines_with,选择
平面形状,combines_with,需求
摩擦阻力,combines_with,升力
摩擦阻力,combines_with,半经验方法
摩擦阻力,combines_with,阻力
数量,combines_with,选择
数量,combines_with,需求
未来,combines_with,抗侧风能力
未来,combines_with,气动
未来,combines_with,稳定性
未来,combines_with,飞机
机翼,combines_with,非定
机翼结构设计方案,combines_with,前文
机翼结构设计方案,combines_with,受力特性
机翼结构设计方案,combines_with,变体机翼
机翼结构设计方案,combines_with,折叠翼
气动特性,combines_with,双翼
气动特性,combines_with,双翼布局
气动特性,combines_with,双翼理论
气动特性,combines_with,平面参数
气动特性,combines_with,气动力
气动特性,combines_with,研究结果
气动特性,combines_with,设计方法
空客公司,combines_with,太阳能无人机
空客公司,combines_with,开发
空客公司,combines_with,西风
结构设计研究,combines_with,单-双折叠翼变体飞行器
结构设计研究,combines_with,总体设计
结构设计研究,combines_with,研究内容
综上,combines_with,需求
美国陆军,combines_with,太阳能无人机
美国陆军,combines_with,开发
美国陆军,combines_with,西风
节中,combines_with,前文
节中,combines_with,升力线理论
节中,combines_with,变体技术
节中,combines_with,折叠翼
节中,combines_with,研究结论
苍鹭,combines_with,开发
计算,combines_with,非定
计算流体动力学,combines_with,升力线理论
计算流体动力学,combines_with,双翼构型
计算流体动力学,combines_with,双翼理论
设计参数,combines_with,双翼布局
设计参数,combines_with,双翼理论
试飞结果,combines_with,研究内容
试验,combines_with,研究内容
试验,combines_with,试飞结果
诱导阻力,combines_with,升力
诱导阻力,combines_with,半经验方法
诱导阻力,combines_with,阻力
连杆,combines_with,选择
连杆,combines_with,需求
重量,combines_with,气象条件
重量,combines_with,起降场地
重量,combines_with,限制
飞机,combines_with,半经验方法
飞行,combines_with,研究内容
高空,combines_with,开发
高空,combines_with,西风
0.8m,connected_to,活动机翼
1.3m,connected_to,尾翼
20米,connected_to,90%
20米,connected_to,布局
NASA,connected_to,使用
NASA,connected_to,前后
NASA,connected_to,布局
两端,connected_to,轴承
两端,connected_to,连杆
两端,connected_to,金属底座
两端,connected_to,金属转轴
位置,connected_to,布置
俯仰力矩,connected_to,布置
俯仰力矩,connected_to,选择
前后,connected_to,布局
升力,connected_to,传递
升力,connected_to,扭矩
升力,connected_to,活动机翼
升力,connected_to,阻力
单翼布局,connected_to,布局
单翼布局,connected_to,设计
单翼布局,connected_to,飞机
受力,connected_to,布局
受力,connected_to,机翼
变体,connected_to,布局
变体过程,connected_to,传递
固定,connected_to,单翼机
固定,connected_to,大展弦
固定,connected_to,角度传感器
固定机翼,connected_to,公转角度
固定机翼,connected_to,固定
固定机翼,connected_to,外侧
固定机翼,connected_to,机构
固定机翼,connected_to,活动机翼
固定机翼,connected_to,自转
固定机翼,connected_to,角度传感器
固定机翼,connected_to,距离
增重,connected_to,受力
增重,connected_to,机翼
安装,connected_to,固定
小部分,connected_to,全机
小部分,connected_to,增重
布局,connected_to,受力
布局,connected_to,机翼
布局,connected_to,设计
开发,connected_to,布局
开发,connected_to,支撑翼布局
开发,connected_to,机身布局
形状,connected_to,金属转轴
据此,connected_to,45%
据此,connected_to,弦长
机构,connected_to,上方
机构,connected_to,固定
机构,connected_to,平行
机构,connected_to,活动机翼
机翼,connected_to,XB-70
机翼,connected_to,全机
机翼,connected_to,布局
机翼,connected_to,最大起飞重量
机翼,connected_to,翼尖
机翼,connected_to,连杆
机翼,connected_to,重量惩罚
机翼,connected_to,飞行
机翼连接处,connected_to,机翼
机身,connected_to,固定
机身,connected_to,平行
机身,connected_to,活动机翼
桁架,connected_to,变形
桁架,connected_to,翼肋
桁架,connected_to,间距
活动机翼,connected_to,45%
活动机翼,connected_to,传递
活动机翼,connected_to,位置
活动机翼,connected_to,作用中心
活动机翼,connected_to,升力中心
活动机翼,connected_to,固定
活动机翼,connected_to,固定机翼
活动机翼,connected_to,布置
活动机翼,connected_to,平行
活动机翼,connected_to,弦长
活动机翼,connected_to,扭矩
活动机翼,connected_to,机构
活动机翼,connected_to,略小于
活动机翼,connected_to,程度
活动机翼,connected_to,自转
活动机翼,connected_to,角度传感器
活动机翼,connected_to,距离
活动机翼,connected_to,连杆
活动机翼,connected_to,选择
碳纤维,connected_to,尾翼
端面,connected_to,固定
端面,connected_to,固定机翼
端面,connected_to,活动机翼
端面,connected_to,锁定机构
结构重量,connected_to,后掠角
结构重量,connected_to,布局
结构重量,connected_to,机翼
美国航空航天局,connected_to,使用
美国航空航天局,connected_to,布局
翼型,connected_to,金属转轴
翼尖,connected_to,XB-70
翼尖,connected_to,大展弦
翼尖,connected_to,飞机
翼尖,connected_to,飞行
自由度,connected_to,固定
航程,connected_to,90%
航程,connected_to,布局
设计,connected_to,飞行
起落架,connected_to,0.6%
起落架,connected_to,全机
起落架,connected_to,最大起飞重量
起落架,connected_to,重量惩罚
起降翼展,connected_to,布局
连杆,connected_to,45%
连杆,connected_to,位置
连杆,connected_to,作用中心
连杆,connected_to,全机
连杆,connected_to,受力
连杆,connected_to,固定机翼
连杆,connected_to,增重
连杆,connected_to,布置
连杆,connected_to,平行
连杆,connected_to,弦长
连杆,connected_to,手段
连杆,connected_to,扭矩
连杆,connected_to,机翼
连杆,connected_to,机翼连接处
连杆,connected_to,活动机翼
连杆,connected_to,流动分离
连杆,connected_to,略小于
连杆,connected_to,设计
连杆,connected_to,距离
连杆,connected_to,轴承
连杆,connected_to,选择
连杆,connected_to,重量
连杆,connected_to,金属转轴
连杆,connected_to,飞机起降
连杆,connected_to,飞行器设计
重力,connected_to,传递
重力,connected_to,增重
重力,connected_to,扭矩
重力,connected_to,活动机翼
重力,connected_to,阻力
金属转轴,connected_to,公转角度
金属转轴,connected_to,单翼模式
金属转轴,connected_to,自转
金属转轴,connected_to,角度传感器
铰链,connected_to,XB-70
铰链,connected_to,固定
铰链,connected_to,破坏
铰链,connected_to,翼尖
铰链,connected_to,飞行
锁定机构,connected_to,单翼机
锁定机构,connected_to,大展弦
需求,connected_to,布置
10%,controls,2000L
21世纪,controls,学科
21世纪,controls,材料
21世纪,controls,进步
三部分解耦控制,controls,变体
三部分解耦控制,controls,失效安全性
三部分解耦控制,controls,折叠翼
上下,controls,升力
上下,controls,活动机翼
上偏,controls,公转
上偏,controls,机翼
上偏,controls,活动机翼
下偏,controls,两侧
下偏,controls,公转
下偏,controls,同时
下偏,controls,机翼
下偏,controls,活动机翼
两侧,controls,变体
两侧,controls,同时
两侧,controls,失效
两侧,controls,控制方案
两侧,controls,解耦
两侧,controls,飞机飞行
两侧副翼,controls,公转角
两侧副翼,controls,机翼
两侧副翼,controls,活动机翼
两侧副翼,controls,自转
优化,controls,空速管
位置,controls,自由度
位置,controls,连杆
位置,controls,需求
位置,controls,飞机
位置,controls,飞行
作用,controls,下偏
作用,controls,变体
作用,controls,小幅
作用,controls,控制算法
作用,controls,飞机
使用,controls,变体
使用,controls,控制
使用,controls,机身
使用,controls,解耦
侧向力,controls,能力
偏转,controls,升力
偏转,controls,方向
偏转,controls,活动机翼
偏转,controls,驱动
偏转角度,controls,公转角
偏转角度,controls,活动机翼
偏转角度,controls,自转角
公转,controls,活动机翼
公转角,controls,输出
前文,controls,总体设计研究
前文,controls,设计规律
副翼,controls,公转
副翼,controls,升力
副翼,controls,活动机翼
副翼,controls,自转
副翼,controls,飞机
副翼偏转,controls,变体
副翼偏转,controls,工况
副翼设计,controls,副翼偏转
副翼设计,controls,变体过程
副翼设计,controls,设计
动力学,controls,2自由度动力学模型
动力学,controls,三部分
动力学,controls,单-双折叠翼变体飞机
动力学,controls,单-双折叠翼变体飞行器
动力学,controls,变体
动力学,controls,变体过程
动力学,controls,总体方案设计
动力学,controls,折叠翼
动力学,controls,指导
动力学,controls,机构
动力学,controls,气动设计
动力学,controls,研究内容
动力学,controls,研究结果
动力学,controls,结构设计研究
动力学,controls,考虑
动力学,controls,设计
动力学,controls,飞机
动力学方程,controls,变体
动力学方程,controls,控制
动力学模型,controls,GPS
动力学模型,controls,加速度传感器
动力学模型,controls,空速管
动力学模型,controls,难度
动力学特性,controls,变体
动力学特性,controls,折叠翼
动力学特性,controls,控制方法
动力学特性,controls,规律
动力学特性,controls,设计
动力学特性,controls,问题之一
升力,controls,变体
升力,controls,工况
升力,controls,拉力
升力,controls,控制
升力,controls,连杆
升力,controls,飞机
单-双折叠翼变体飞行器,controls,研究结果
原理验证机,controls,内副翼
原理验证机,controls,控制
原理验证机,controls,机身
原理验证机,controls,着陆
原理验证机,controls,起飞
双翼,controls,需求
变体,controls,2000L
变体,controls,GPS
变体,controls,两侧
变体,controls,使用
变体,controls,全机
变体,controls,单-双折叠翼变体飞行器
变体,controls,同时
变体,controls,固定
变体,controls,图像信息
变体,controls,失效
变体,controls,失效安全性
变体,controls,安全
变体,controls,应用场景
变体,controls,折叠翼
变体,controls,控制
变体,controls,控制方案
变体,controls,控制策略
变体,controls,控制算法
变体,controls,措施
变体,controls,机构
变体,controls,活动机翼
变体,controls,测试
变体,controls,稳定性
变体,controls,空速管
变体,controls,耦合作用
变体,controls,航程
变体,controls,解耦
变体,controls,距离
变体,controls,重量
变体,controls,难度
变体,controls,非线性
变体,controls,风洞试验
变体,controls,飞机操稳特性
变体,controls,飞机飞行
变体,controls,驱动方式
变体,controls,鲁棒性
变体包线,controls,平面形状
变体包线,controls,机翼
变体控制,controls,控制策略
变体控制,controls,解耦
变体过程,controls,15m/s
变体过程,controls,三部分
变体过程,controls,下偏
变体过程,controls,副翼
变体过程,controls,变体
变体过程,controls,困难
变体过程,controls,固定机翼
变体过程,controls,图像信息
变体过程,controls,失效
变体过程,controls,巡航速度
变体过程,controls,平面参数
变体过程,controls,攻角总改变量
变体过程,controls,机翼
变体过程,controls,机翼升力
变体过程,controls,机翼面积
变体过程,controls,梢根比
变体过程,controls,活动机翼
变体过程,controls,翼尖负担
变体过程,controls,考虑
变体过程,controls,要求
变体过程,controls,需求
变体过程,controls,飞机
变体飞行器,controls,学科
变形,controls,伸缩
变形,controls,处理
变形,controls,控制
变形,controls,机翼
变形,controls,翼肋
变形,controls,角度
变形,controls,间距
变形量,controls,固定
变形量,controls,活动机翼
变形量,controls,范围
同时,controls,全机
同时,controls,性能
同时,controls,机翼
后掠角,controls,能力
图像信息,controls,姿态
图像信息,controls,摄像头
图像信息,controls,飞行控制系统
增强,controls,使用
增强,controls,克服
增强,controls,难度
增强,controls,鲁棒性
处理,controls,变体
外侧,controls,机翼面积
外侧,controls,翼展
外侧,controls,飞机
大小,controls,活动机翼
大小,controls,运动
失效情况,controls,控制方案
好处,controls,同时
好处,controls,难度
姿态,controls,飞机
学科,controls,难度
差动,controls,活动机翼
差动,controls,自转
差动偏转,controls,机翼
差动偏转,controls,自转
布局,controls,单-双折叠翼变体飞行器
干扰,controls,关注
干扰,controls,方案
开发,controls,处理
开发,controls,姿态
开发,controls,速度
性能,controls,能力
性能评估模块,controls,稳定性
性能评估模块,controls,飞行性能
总体设计,controls,平面形状
总体设计,controls,机翼
总体设计,controls,气动负载
总体设计,controls,活动机翼
扰动力,controls,变体过程
扰动力矩,controls,变体过程
折叠翼,controls,单-双折叠翼变体飞行器
折叠翼,controls,变体
折叠翼,controls,非线性
折叠翼,controls,飞机操稳特性
指令,controls,变体
指令,controls,飞机
控制,controls,难度
控制器,controls,变体
控制方案,controls,变体
控制方法,controls,难度
控制特性,controls,变体
控制算法,controls,优化
控制算法,controls,测试
控制算法,controls,风洞试验
摄像头,controls,飞行控制系统
改变,controls,副翼
改变,controls,困难
改变,controls,固定机翼
改变,controls,活动机翼
改变,controls,运动
攻角总改变量,controls,范围
方向,controls,活动机翼
机构,controls,稳定性
机构,controls,驱动方式
机构,controls,鲁棒性
机翼,controls,机翼面积
机翼,controls,翼展
机翼,controls,飞机
机翼设计参数,controls,变体过程
机翼设计参数,controls,滚转扰动力矩
机身,controls,控制
机身,controls,控制策略
机身,controls,解耦
桁架,controls,机翼
桁架,controls,翼肋
桁架,controls,间距
气动,controls,单-双折叠翼变体飞行器
气动,controls,学科
气动,controls,总体设计
气动,controls,总体设计研究
气动,controls,控制
气动,controls,研究结果
气动,controls,结构设计研究
气动,controls,耦合作用
气动,controls,设计方法
气动,controls,设计规律
气动,controls,难度
气动力,controls,变体
气动力变化,controls,增强
气动力变化,controls,考虑
气动力驱动变体,controls,变体
气动力驱动变体,controls,学科
气动力驱动变体,controls,应用场景
气动力驱动变体,controls,折叠翼
气动力驱动变体,controls,耦合作用
气动力驱动变体,controls,规律
气动力驱动变体,controls,设计
气动设计,controls,学科
气动设计,controls,考量
气动设计,controls,耦合作用
气动设计,controls,设计
气动设计,controls,设计目标
气动设计,controls,设计约束
气动设计,controls,飞机设计
活动机翼,controls,拉力
活动机翼,controls,自转
活动机翼,controls,输出
活动机翼,controls,连杆
活动机翼内侧,controls,范围
滚转力矩,controls,姿态
滚转力矩,controls,活动机翼
程度,controls,活动机翼
程度,controls,自转
空间侵占,controls,2000L
空间侵占,controls,收益
空间侵占,controls,航程
端面,controls,活动机翼
端面,controls,范围
第一,controls,使用
第一,controls,反馈线性化
第一,controls,手段
简化,controls,同时
简化,controls,应用场景
简化,controls,要求
简化,controls,难度
简化,controls,驱动方式
结构设计,controls,指导
结构设计,controls,设计
考虑,controls,控制
考虑,controls,攻角总改变量
考虑,controls,活动机翼
考虑,controls,要求
考虑,controls,连杆
考虑,controls,需求
自由度,controls,两侧
自由度,controls,变体
自由度,controls,学科
自由度,controls,控制
自由度,controls,控制方式
自由度,controls,控制方案
自由度,controls,控制策略
自由度,controls,控制范围
自由度,controls,节中
自由度,controls,解耦
自由度,controls,飞机
自转角,controls,输出
舵面,controls,控制方案
舵面,controls,解耦
襟副翼,controls,小幅
襟副翼,controls,飞机
规律,controls,增强
规律,controls,研究内容
规律,controls,结构设计研究
规律,controls,考虑
规律,controls,飞行控制系统
角度,controls,变体
解耦,controls,控制
解耦控制方案,controls,两侧
解耦控制方案,controls,变体
解耦控制方案,controls,控制
计算,controls,稳定性
计算,controls,飞行性能
设计方法,controls,9g
设计方法,controls,使用
设计方法,controls,变体飞行试验
试飞,controls,鲁棒性
试飞场地条件,controls,巡航速度
试飞场地条件,controls,要求
起降,controls,性能
起降,controls,提升
起降,controls,稳定性
起降,controls,飞行性能
速度,controls,自由度
速度,controls,飞机
遥控器,controls,控制
重量成本,controls,10%
重量成本,controls,全机
重量成本,controls,重量
