entity,type
解耦控制策略,概念
6+2+2控制系统,概念
主控制器,结构部件
变形控制器,结构部件
子控制器,结构部件
CAN总线,技术
串行端口,技术
PX4,软件
飞行控制算法,技术
风洞试验,技术
RANS方法,技术
SST湍流模型,技术
CFD,技术
计算流体动力学,技术
重叠网格,技术
URANS方法,技术
定常计算,技术
非定常计算,技术
二维重叠网格,技术
三维重叠网格,技术
结构化六面体网格,技术
地面测试,技术
车载变体试验,技术
空中变体试验,技术
基本飞行试验,概念
变体飞行试验,概念
起飞距离,设计参数
起飞速度,设计参数
着陆距离,设计参数
失速速度,设计参数
最大升力系数_单翼,设计参数
最大升力系数_双翼,设计参数
巡航升阻比,设计参数
续航时间,设计参数
抗侧风能力,性能指标
抗突风能力,性能指标
抗过载能力,性能指标
翼尖变形,设计参数
翼尖擦地,概念
跑道宽度,设计参数
起降场地,概念
前线机场,概念
航母甲板,概念
舰载部署,概念
小型机场,概念
简易跑道,概念
通航机场,概念
结构破坏,概念
解体坠毁,概念
结构性故障,概念
失效安全,概念
控制鲁棒性,性能指标
系统稳定性,性能指标
气动弹性,概念
非定常气动弹性,概念
气动伺服弹性,概念
多学科耦合,概念
气动-结构耦合,概念
气动-控制耦合,概念
结构-控制耦合,概念
总体设计参数,概念
机翼平面形状,概念
机翼厚度分布,设计参数
机翼弯度分布,设计参数
机翼扭转分布,设计参数
载荷分布,气动概念
弯矩分布,设计参数
扭矩分布,设计参数
剪力分布,设计参数
传力路径,概念
受力特性,概念
变形特性,概念
应力分布,设计参数
应变分布,设计参数
最大正应力,设计参数
最大剪切应力,设计参数
许用应力,设计参数
屈服强度,设计参数
疲劳强度,设计参数
安全系数,设计参数
普朗特,人物
芒克,人物
Laitone,人物
Addoms,人物
Prosnak,人物
Ahmed,人物
陈海昕,人物
NACA2412,翼型
NACA0012,翼型
Boeing106,翼型
矩形翼,机翼形状
梯形翼,机翼形状
平直机翼,机翼形状
上机翼在前,位置关系
上机翼在后,位置关系
上机翼正上方,位置关系
上机翼斜前方,位置关系
上机翼斜后方,位置关系
双翼理论,理论
薄翼理论,理论
升力线理论,理论
双翼气动等效原则,原则
双翼气动设计准则,准则
单-双折叠翼变体飞行器,飞行器
RQ-4A,飞行器
全球鹰,飞行器
变体过程,概念
折叠变体,概念
展开变体,概念
等效攻角变化,概念
副翼线性区,概念
副翼非线性区,概念
气动力增量中心,概念
碳纤维复合材料,材料
玻璃纤维复合材料,材料
木材,材料
3D打印树脂,材料
结构钢,材料
铝合金,材料
钛合金,材料
记忆合金,材料
碳纤维管,结构部件
空心碳管,结构部件
金属转轴,结构部件
金属底座,结构部件
碳纤维板,结构部件
碳纤维桁架,结构部件
翼台,结构部件
挂钩,结构部件
锥形孔,结构部件
锥形滑块,结构部件
舵机,结构部件
微型舵机,结构部件
电推杆,结构部件
空速管,结构部件
角度传感器,结构部件
六轴加速度传感器,结构部件
摄像头,结构部件
GPS,结构部件
蒙皮,结构部件
翼梁,结构部件
长桁,结构部件
纵墙,结构部件
主梁,结构部件
主油箱,结构部件
副油箱,结构部件
机翼油箱,结构部件
机身油箱,结构部件
油箱,结构部件
垂尾,结构部件
平尾,结构部件
V型尾翼,结构部件
方向舵,结构部件
升降舵,结构部件
起落架,结构部件
后起落架,结构部件
