head,relation,tail
上下机翼位置关系,defined_as,固定于此
梢根比,affects,双翼气动性能
展弦比,affects,双翼气动性能
翼展比,affects,双翼气动性能
机翼设计参数,affects,双翼气动性能
双翼气动性能,depends_on,梢根比
双翼气动性能,depends_on,展弦比
双翼气动性能,depends_on,翼展比
梢根比,affects,双翼升力阻力特性
上下机翼的相对位置,affects,双翼展向流动特性
梢根比,affects,双翼展向流动特性
梢根比,affects,双翼升力和阻力特性
4组双翼,uses_method,NACA2412翼型
4组双翼,has_part,平均弦长均为1m
梢根比的变化,affects,双翼气动特性
梢根比的变化,approximately,非常小
最大升力系数,affects,双翼升力曲线
不同梢根比的双翼,has_part,升力曲线
不同梢根比的双翼,has_part,阻力曲线
展弦比,affects,双翼升力阻力特性
展弦比,affects,诱导阻力
展弦比,affects,升力
增大展弦比,reduces,诱导阻力
增大展弦比,increases,升力
展弦比,defined_as,机翼平面设计的重要参数
双翼变体,transforms_to,单翼
3组双翼,has_part,双翼
3组双翼变体,has_part,双翼变体
6组机翼,contains,单翼
6组机翼,contains,双翼
展弦比的变化,affects,双翼气动特性
单翼构型,transforms_to,双翼构型
单-双折叠翼变体飞行器,has_part,单翼构型
上下机翼,affects,升力损失
前者,part_of,升力损失
后者,part_of,升力损失
诱导阻力,increases,大幅上升
飞机,transforms_to,双翼构型
升力损失,has_part,前者
升力损失,has_part,后者
上下机翼的翼展比,affects,双翼升力阻力特性
上下机翼的翼展比,defined_as,双翼飞机的另一个重要设计参数
上机翼的翼展,greater_than,下机翼的翼展
活动机翼和固定机翼翼展相同,equals_to,翼展比为1
活动机翼翼展,less_than,固定机翼的翼展
保持上下机翼的位置关系不变,contains,上下机翼的位置关系
第二组双翼的上机翼相较于下机翼长25%,greater_than,下机翼
第三组双翼上机翼相较于下机翼短25%,less_than,下机翼
上翼上反角,affects,双翼升力阻力特性
上机翼,part_of,双翼设计
下机翼,part_of,双翼设计
上机翼,has_part,上反角
相互干扰,reduces,气动性能
机身高度的限制,affects,上下机翼之间的间距
翼根处上下机翼间距,applies_to,双翼构型
上机翼,applies_to,上反
增大上下机翼的平均间距,improves,飞机的性能
上机翼,affects,双翼升力阻力特性
上机翼上反,affects,双翼升力阻力特性
翼根处上下翼间距,equals_to,1倍弦长
上机翼上反,increases,最大升力系数
上机翼上反,reduces,阻力
带有上反角的双翼构型,equivalent_to,上下翼平均间距为1.25倍弦长的无上反双翼
上下翼间距为1倍弦长,instance_of,无上反双翼
上机翼上反,affects,双翼几何
研究,leads_to,结论
结论,depends_on,研究
结论,originates_from,研究
双翼,affects,展向升力分布
展向升力分布,is_a,较差
奥斯瓦尔德因子,is_a,较高
诱导阻力,is_a,较高
机翼的梢根比,affects,奥斯瓦尔德因子
机翼的梢根比,affects,诱导阻力
上下机翼间距,equals_to,1倍平均弦长
单翼,part_of,单-双折叠翼变体飞行器
双翼,part_of,单-双折叠翼变体飞行器
机翼,has_part,上机翼
机翼,has_part,下机翼
上机翼,part_of,机翼
下机翼,part_of,机翼
机翼折叠,causes,展弦比变化
上机翼,affects,下机翼
下机翼,affects,上机翼
上下机翼,part_of,双翼机
翼展比为1的双翼,defined_as,双翼
上机翼,improves,最大升力系数
双翼的升力阻力特性,equivalent_to,矩形双翼
最大升力系数,approximately,少量区别
双翼布局气动的等效性原则,applies_to,雷诺数处于自准区时的情形
平均弦长,part_of,矩形双翼
平均展长,part_of,矩形双翼
无量纲位置参数,part_of,矩形双翼
上下翼等弦长等展长,part_of,矩形双翼
同时,affects,双翼气动设计
双翼气动设计,defined_as,准则
双翼,depends_on,双翼的位置关系
双翼,depends_on,两个无量纲量
上下翼间距,less_than,损失的升力
上下翼间距,less_than,奥斯瓦尔德因子
上下翼间距,reduces,气动效率
靠前的机翼,increases,升力
靠后的机翼,reduces,升力
双翼的气动性能,affects,机翼平面参数的变化
增大上机翼与下机翼的间距,improves,双翼的性能
梢根比,affects,双翼的性能
翼展比,affects,双翼的性能
气动外形参数,affects,双翼的性能
双翼的气动性能,less_than,机翼平面参数的变化
双翼的性能,depends_on,梢根比
双翼的性能,depends_on,翼展比
双翼的性能,depends_on,气动外形参数
单-双折叠翼变体飞行器,part_of,飞行器
双翼构型,is_a,构型
上下机翼间距,equals_to,一倍平均弦长
双翼构型,reduces,升力线斜率
双翼构型,reduces,最大升力系数
双翼构型,greater_than,单翼构型
双翼构型,equals_to,零升阻力
双翼构型,increases,诱导阻力
单翼构型,part_of,飞行器
一倍平均弦长,defined_as,平均弦长
升力线斜率,applies_to,双翼构型
最大升力系数,applies_to,双翼构型
零升阻力,applies_to,双翼构型
诱导阻力,applies_to,双翼构型
连杆,affects,阻力
双翼的气动性能,affects,单-双折叠翼变体飞行器的设计
单翼构型,part_of,单-双折叠翼变体飞行器
机翼平面参数,affects,双翼的气动性能
单-双折叠翼变体飞行器的设计,depends_on,单翼构型下的气动性能
单翼构型,uses_method,大展弦比平直机翼的设计规律
大展弦比平直机翼的设计规律,defined_as,0.4左右梢根比的大展弦比梯形翼
单翼构型,applies_to,0.4左右梢根比的大展弦比梯形翼
0.4左右梢根比,part_of,大展弦比梯形翼
大展弦比梯形翼,is_a,大展弦比平直机翼
连杆,affects,双翼布局的气动特性
连杆,connected_to,活动机翼
连杆,connected_to,固定机翼
单-双折叠翼变体飞行器,has_part,连杆
单-双折叠翼变体飞行器,has_part,固定机翼
单-双折叠翼变体飞行器,has_part,活动机翼
连杆,affects,气动特性
简化模型,reduces,计算规模
上下翼间距为1倍弦长,approximately,1倍弦长
单翼状态下梢根比为0.4左右,approximately,0.4左右
机翼的综合气动性能最优,depends_on,上下翼间距为1倍弦长
机翼的综合气动性能最优,depends_on,单翼状态下梢根比为0.4左右
该构型,defined_as,设计基准
设计基准,contains,连杆
构型1,defined_as,单连杆结构
构型2,defined_as,并列的双连杆结构
两个连杆,has_part,厚翼型形状
构型1,part_of,双翼构型
构型2,part_of,双翼构型
双翼构型,contains,构型1
双翼构型,contains,构型2
升阻力系数,generated_by,构型1
压力分布变化情况,generated_by,构型2
包含连杆的双翼构型,contains,连杆
含连杆构型,has_part,连杆
含连杆构型,reduces,升力
含连杆构型,reduces,最大升力系数
含连杆构型,increases,零升阻力系数
连杆,generates,摩擦阻力
连杆,causes,局部流动分离
含连杆构型,reduces,诱导阻力系数
连杆,generates,端板效应
端板效应,reduces,翼尖涡的发展
不包含连杆的构型,part_of,双翼构型
零升阻力系数,greater_than,不包含连杆的构型
诱导阻力系数,less_than,不包含连杆的构型
连杆,affects,机翼升力
连杆,affects,机翼阻力
连杆和机翼连接处,generates,流动分离
流动分离,reduces,机翼阻力
机翼外形设计,applies_to,整流手段
整流手段,reduces,流动分离
4.3.1,instance_of,研究方法
单-双折叠翼变体飞行器,actuated_by,气动力驱动
单-双折叠翼变体飞行器,has_part,折叠翼
单-双折叠翼变体飞行器,has_part,展开
变体过程,affects,气动特性
气动特性,has_part,升力变化
升力变化,affects,控制
升力变化,affects,安全
半模,has_part,机身
半模,has_part,固定机翼
半模,has_part,活动机翼
活动机翼,connected_to,固定机翼
活动机翼,applies_to,固定机翼
固定机翼,is_a,NACA2412翼型
活动机翼,is_a,NACA2412翼型
固定机翼,equals_to,弦长均为1m
活动机翼,equals_to,弦长均为1m
固定机翼,equals_to,展长均为5m
活动机翼,equals_to,展长均为5m
单翼状态,equals_to,全机展长为20m
背景网格,contains,机身
背景网格,contains,固定机翼
背景网格,contains,对称面
背景网格,contains,流场网格
嵌套网格,contains,活动机翼
嵌套网格,contains,活动机翼周围流场
来流马赫数,equals_to,0.2
雷诺数,equals_to,400万
活动机翼,transforms_to,双翼状态
活动机翼,transforms_to,单翼状态
公转时间,equals_to,15.7秒
公转角度,equals_to,157度
公转角度为0,equals_to,单翼构型
公转角度为157度,equals_to,双翼构型
升力,reduces,逐步下降趋势
升力变化幅度,approximately,20%
阻力,increases,上升趋势
双翼构型,transforms_to,单翼构型
升阻力,affects,公转角度
升力变化,equals_to,平稳
阻力变化,equals_to,平稳
升力变化,applies_to,气动力控制
阻力变化,applies_to,气动力控制
气动力控制,controlled_by,变体过程
活动机翼上表面前缘的低压区,reduces,升力下降
升力,affects,飞机升力中心
阻力,affects,飞机升力中心
飞机升力中心,affects,俯仰安定性
气动中心,affects,俯仰安定性
机翼弦向的压力中心,affects,俯仰安定性
气动中心,affects,飞机升力中心
活动机翼展向的压力中心,affects,活动机翼的自转
变体过程,affects,飞机升力中心
变体过程,affects,气动中心
变体过程,affects,俯仰安定性
变体过程,affects,活动机翼的自转
升力,affects,气动中心
阻力,affects,气动中心
机翼弦向的压力中心,affects,飞机升力中心
活动机翼展向的压力中心,affects,活动机翼
单-双折叠翼变体飞行器,part_of,变体过程
飞机,has_part,重心
飞机,has_part,气动外形
常规飞行器,has_part,升力中心
常规飞行器,has_part,气动中心
升力中心,applies_to,常规飞行器
气动中心,applies_to,常规飞行器
单-双折叠翼变体飞行器,part_of,全机
升力中心,applies_to,单-双折叠翼变体飞行器
气动中心,applies_to,单-双折叠翼变体飞行器
飞机,has_part,固定机翼及机身
飞机,has_part,活动机翼
固定机翼及机身,has_part,升力中心
活动机翼,has_part,气动中心
固定机翼,located_at,机翼前缘
活动机翼,located_at,机翼前缘
活动机翼,has_part,升力中心
固定机翼,has_part,升力中心
机身,has_part,升力中心
固定机翼及机身,part_of,飞机
活动机翼,part_of,飞机
活动机翼的气动中心,located_at,活动机翼
活动机翼的气动中心,approximately,2%机翼弦长左右的前移
活动机翼的气动中心,leads_to,前移
前移,affects,飞机的气动设计
飞机的气动设计,needs,增大飞机的静稳定裕度
变体过程,affects,气动中心变化情况
单翼到双翼的变体过程,transforms_to,变体过程
活动机翼的气动中心,part_of,活动机翼
活动机翼内侧端面,located_at,坐标原点
活动机翼,has_part,展向升力中心
展向升力中心,located_at,46%机翼展长
双翼构型,part_of,变体过程
升力中心,located_at,50%机翼展长
活动机翼,has_part,铰链
展向升力中心,located_at,46%机翼展长左右位置
升力中心,located_at,50%机翼展长左右位置
非定常效应,part_of,变体过程
变体过程,generates,非定常效应
变体过程,has_part,非定常效应
非定常效应,defined_as,变体过程中的非定常效应
变体过程,leads_to,非定常效应
折叠变体,part_of,变体过程
展开变体,part_of,变体过程
气动力变化特性,located_at,折叠变体
气动力变化特性,located_at,展开变体
非定常效应,affects,气动力变化特性
公转角度,part_of,变体路径
非定常计算,enables,分析非定常效应
定常计算,enables,分析非定常效应
非定常效应,has_part,大小
非定常效应,has_part,来源
定常计算的结果,approximately,正弦曲线
定常计算的结果,equals_to,折叠变体和展开变体计算结果之间
定常计算的结果,less_than,展开变体计算结果
差值,approximately,正弦曲线
公转角度,equals_to,90度
活动机翼的运动,affects,有效迎角
活动机翼的运动,causes,升力和阻力发生了变化
速度分量,affects,有效迎角
有效迎角,affects,升力和阻力
公式计算的结果,verifies,上述猜想
机翼变体过程中的非定常效应,originates_from,外机翼运动
外机翼运动,causes,机翼有效攻角的变化
活动机翼,part_of,机翼
固定机翼,part_of,机翼
机翼完整,transforms_to,机翼断开
机翼断开,generates,翼尖涡流
翼尖涡流,affects,飞行控制
翼尖涡流,affects,机翼升力
翼尖涡流,affects,变体过程
变体过程,needs,变体控制方案
机翼升力,controlled_by,翼尖涡流
单-双翼变体飞行器,affects,升力变化幅度
机翼运动,generates,非定常效应
非定常效应,originates_from,机翼运动
非定常效应,has_part,来源单一
非定常效应,has_part,规律清晰
升力变化幅度,less_than,变化平稳
变体过程,needs,气动控制
单-双翼变体飞行器,part_of,变体过程
机翼运动,affects,气动控制
副翼,actuated_by,气动力
气动力,drives,副翼
副翼,used_for,气动力驱动变体
气动力,applies_to,副翼
单-双折叠翼变体飞行器,uses_method,副翼偏转
副翼偏转,generates,气动力
气动力,drives,变体
副翼偏转,provides,气动力
副翼偏转,provides,气动力矩
副翼偏转,generates,额外的力和力矩
额外的力和力矩,applied_to,活动机翼
活动机翼,connected_to,连杆
活动机翼,connected_to,机身
连杆,part_of,变体机构
额外的力和力矩,causes,连杆等变体机构的变形
连杆等变体机构的变形,affects,全机的俯仰稳定性
副翼偏转,affects,全机的俯仰稳定性
副翼偏转,depends_on,变体过程
活动机翼,generates,升力
固定机翼,generates,升力
活动机翼的升力,equals_to,自身重力
固定机翼的升力,equals_to,全机余下部分的重力
活动机翼的副翼,needs,卸载升力
活动机翼的副翼,needs,上偏
活动机翼的副翼,needs,下偏
活动机翼两侧的副翼,needs,差动
活动机翼的副翼,controls,活动机翼的公转
全机的升力,needs,重新分配
活动机翼的升力,reduces,自身重力
固定机翼的升力,increases,全机余下部分的重力
NACA2412翼型,used_for,讨论变体对于副翼的需求
副翼偏转,generates,额外气动力
副翼偏转,generates,气动力矩
